Abbagliato	i:29:132
Bede	pa:10:131
Beelzebub	i:34:127
Belacqua	pu:4:123
Belisarius	pa:6:25
Bellincion Berti	pa:15:112
Bellincione	pa:16:99
Belus	pa:9:97
Benaco	i:20:63	i:20:74	i:20:77
Benedict	pa:32:35
Benevento	pu:3:128
Bergamasks	i:20:71
Bernard	pa:11:79	pa:31:102	pa:31:139	pa:33:49
Bernardin di Fosco	pu:14:101
Berta	pa:13:139
Bertrand de Born	i:28:134
Bindis	pa:29:103
Bisenzio	i:32:56
Bismantova	pu:4:26
Blacks	i:24:143
Bocca	i:32:106
Bohemia	pa:19:125
Bologna	i:23:142	pu:14:100
Bolognese	i:18:58	i:23:103
Bolsena	pu:24:24
Bonagiunta	pu:24:19
Bonagiunta of Lucca	pu:24:20
Bonaventure	pa:12:127
Bonconte	pu:5:88
Boniface	i:19:53
Bonifazio	pu:24:29
Bonturo	i:21:41
Boreas	pa:28:80
Borgo	pa:16:134
Bostichi	pa:16:93
Brabant	pu:6:23
Branca Doria	i:33:137	i:33:140
Brenta	i:15:7	pa:9:27
Brescia	i:20:68
Brescians	i:20:71
Bretinoro	pu:14:112
Briareus	i:31:98	pu:12:28
Brigata	i:33:89
Brindisi	pu:3:27
Brisso	pa:13:125
Bruges	i:15:4	pu:20:46
Brunetto	i:15:30	i:15:101
Brunetto Latino	i:15:32
Brutus	i:4:127	i:34:65	pa:6:74
Buggea	pa:9:92
Bulicame	i:14:79
Bull	pa:22:111
Buondelmonte	pa:16:140
Buondelmonti	pa:16:66
Buoso	i:25:140
Buoso Donati	i:30:44
Caccia	i:29:130
Cacciaguida	pa:15:135
Cacume	pu:4:26
Cacus	i:25:25
Cadmus	i:25:97
Caecilius	pu:22:98
Caesar	i:4:123	i:13:65	i:28:98	pu:6:92	pu:6:114	pu:18:101	pu:26:77	pa:6:10	pa:6:86	pa:16:59
Cagnan	pa:9:49
Cagnazzo	i:21:119	i:22:106
Cahors	i:11:50
Cahorsines	pa:27:58
Cain	i:20:124	pa:2:51
Caina	i:5:107	i:32:58
Calboli	pu:14:89
Calcabrina	i:21:118	i:22:133
Calchas	i:20:110
Caleruega	pa:12:52
Calfucci	pa:16:106
Calliope	pu:1:9
Callixtus	pa:27:44
Camilla	i:1:107	i:4:124
Camiscion de' Pazzi	i:32:68
Campagnatico	pu:11:66
Campaldino	pu:5:92
Campi	pa:16:50
Campo Piceno	i:24:148
Campo di Siena	pu:11:134
Canavese	pu:7:136
Capaneus	i:14:63
Capocchio	i:29:136	i:30:28
Caponsacco	pa:16:121
Cappelletti	pu:6:106
Capraia	i:33:82
Capricorn	pu:2:57
Caprona	i:21:95
Carinthia	i:15:9
Carlino	i:32:69
Carraran	i:20:47
Casale	pa:12:124
Casalodi	i:20:95
Casella	pu:2:91
Casentino	i:30:65	pu:5:94
Cassino	pa:22:37
Cassius	i:34:67	pa:6:74
Castor	pu:4:61
Castrocaro	pu:14:116
Catalano	i:23:104	i:23:114
Catalonia	pa:8:77
Catellini	pa:16:88
Cato	i:14:15
Catona	pa:8:62
Catria	pa:21:109
Caurus	i:11:114
Cecina	i:13:9
Cephas	pa:21:127
Ceprano	i:28:16
Cerberus	i:6:13	i:6:22	i:6:32	i:9:98
Cerchi	pa:16:65
Certaldo	pa:16:50
Cervia	i:27:42
Ceuta	i:26:111
Charlemagne	i:31:17	pa:6:96	pa:18:43
Charles	i:19:99	pu:5:69	pu:11:137	pu:20:67	pu:20:71	pa:6:106	pa:8:72	pa:9:1	pa:20:63
Charon	i:3:94	i:3:109	i:3:128
Charybdis	i:7:22
Cherubim	pa:28:99
Chiana	pa:13:23
Chiassi	pu:28:20
Chiavari	pu:19:100
Chiron	i:12:65	i:12:71	i:12:77	i:12:97	pu:9:37
Chiusi	pa:16:75
Christ	pu:20:87	pu:21:8	pu:23:74	pu:26:129	pu:32:102	pa:6:14	pa:11:72	pa:11:102	pa:11:107	pa:12:37	pa:12:71	pa:12:73	pa:12:75	pa:14:104	pa:14:106	pa:14:108	pa:17:51	pa:19:72	pa:19:104	pa:19:106	pa:19:108	pa:20:47	pa:23:20	pa:23:72	pa:25:15	pa:26:53	pa:27:40	pa:29:98	pa:29:109	pa:31:3	pa:32:20	pa:32:24	pa:32:27	pa:32:83	pa:32:85	pa:32:87	pa:32:125
Christian	i:27:88	pu:22:73	pu:22:90	pa:20:104
Christianity	i:4:37	pa:24:106
Christians	pu:10:121	pa:5:73
Christ’s	pa:9:120
Chrysostom	pa:12:137
Church	pa:22:82
Ciacco	i:6:52	i:6:58
Cianfa	i:25:43
Cianghella	pa:15:128
Cieldauro	pa:10:128
Cimabue	pu:11:94
Cincinnatus	pa:15:129
Circe	i:26:91	pu:14:42
Ciriatto	i:22:55
Cirïatto	i:21:122
Cirrha	pa:1:36
Clement	pu:3:125
Clemenza	pa:9:1
Cleopatra	i:5:63	pa:6:76
Cletus	pa:27:41
Clio	pu:22:58
Clotho	pu:21:27
Cluny	i:23:63
Clymene	pa:17:1
Cocytus	i:14:119	i:31:123	i:33:156	i:34:52
Colchians	i:18:87
Colchis	pa:2:16
Colle	pu:13:115
Cologne	pa:10:99
Conio	pu:14:116
Conrad	pa:15:139
Conradin	pu:20:68
Constance	pu:3:113	pu:3:143	pu:7:129	pa:3:118	pa:4:98
Constantine	i:19:115	i:27:94	pa:6:1
Conti	pa:16:64
Cornelia	i:4:128	pa:15:129
Corneto	i:13:9
Corsica	pu:18:81
Cosenza	pu:3:124
Count Guido	pa:16:98
Count Orso	pu:6:19
Count Ugolino	i:33:13	i:33:85
Crab	pa:25:101
Crassus	pu:20:116
Crete	i:12:12	i:14:95
Creusa	pa:9:98
Croatia	pa:31:103
Cunizza	pa:9:32
Cupid	pa:8:7
Curio	i:28:102
Currado	pu:8:65
Currado Malaspina	pu:8:118
Currado da Palazzo	pu:16:124
Cyprus	i:28:82
Cyrus	pu:12:56
Daedalus	i:29:116
Damietta	i:14:104
Daniel	pu:22:146	pa:4:13	pa:29:134
Dante	pu:30:55
Danube	i:32:25	pa:8:65
David	i:4:58	i:28:138
Decretals	pa:9:134
Dei	pu:10:44	pa:12:93
Deianira	i:12:68
Deidamia	i:26:62	pu:22:114
Deiphyle	pu:22:110
Delectasti	pu:28:80
Delia	pu:29:78
Delos	pu:20:130
Democritus	i:4:136
Demofoonte	pa:9:101
Deo	pu:20:136
Deus	pu:33:1	pa:7:1
Diana	pu:13:153	pu:25:131
Dido	i:5:85	pa:8:9
Dio	pu:13:122	pu:13:124	pu:13:146
Diogenes	i:4:137
Diomedes	i:26:56
Dione	pa:8:7	pa:22:143
Dionysius	i:12:107	pa:28:130
Dioscorides	i:4:140
Dis	i:8:68	i:11:65	i:12:39	i:34:20
Domine	pu:23:11
Dominic	pa:10:95	pa:12:70
Domitian	pu:22:83
Don	i:32:27
Donatus	pa:12:137
Douai	pu:20:46
Draghignazzo	i:21:121	i:22:73
Duera	i:32:116
Dyrrachium	pa:6:65
Earth	pu:29:119
Ebro	pa:9:89
Egidius	pa:11:83
Egypt	pa:25:55
El	pa:26:136
Elbe	pu:7:99
Electra	i:4:121
Eli	pu:23:74
Elijah	pu:32:80
Elijah’s	i:26:35
Eliseo	pa:15:136
Elsa	pu:33:68
Elysium	pa:15:27
Ema	pa:16:143
Empedocles	i:4:138
Emperor Trajan	pu:10:76
Englishman	pa:19:122
Ephialtes	i:31:94	i:31:108
Epicurus	i:10:14
Equator	pu:4:80
Erichtho	i:9:23
Erinyes	i:9:45
Erysichthon	pu:23:26
Esau	pa:8:130
Este	pu:5:77
Esther	pu:17:29
Eteocles	i:26:54
Ethics	i:11:80
Ethiopia	i:24:89
Ethiopian	pu:26:21	pa:19:109
Euclid	i:4:142
Eunoë	pu:28:131	pu:33:127
Euphrates	pu:33:112
Euripides	pu:22:106
Europa	pa:27:84
Europe	pu:8:123	pa:6:5	pa:12:48
Euryalus	i:1:108
Eurypylus	i:20:112
Eve	pu:8:99	pu:12:71	pu:24:116	pu:29:24
Ezekiel	pu:29:100
Fabbro	pu:14:100
Fabricius	pu:20:25
Faenza	i:32:123	pu:14:101
Falterona	pu:14:17
Famagusta	pa:19:146
Fano	i:28:76	pu:5:71
Farfarello	i:21:123	i:22:94
Farinata	i:6:79	i:10:32
Father	pa:27:1
Federigo	pu:16:117
Federigo Novello	pu:6:17
Federigo Tignoso	pu:14:106
Felix	pa:12:79
Feltre	pa:9:52
Ferrarese	pa:9:56
Fiesolan	i:15:73
Fiesole	i:15:62	pa:15:126	pa:16:122
Fifanti	pa:16:104
Fighine	pa:16:50
Filippeschi	pu:6:107
Filippi	pa:16:89
Filippo Argenti	i:8:61
Fishes	i:11:113	pu:1:21
Flemings	i:15:4
Florence	i:10:92	i:16:75	i:24:144	i:26:1	i:32:120	pu:6:127	pu:20:75	pa:15:97	pa:16:84	pa:16:111	pa:16:146	pa:16:149	pa:17:48	pa:29:103	pa:31:39
Florentine	i:8:62	i:33:11	pu:11:112	pu:23:101	pa:16:61
Florentines	i:17:70	pa:16:86
Focaccia	i:32:63
Focara	i:28:89
Folco	pa:9:94
Fonte Branda	i:30:78
Forese	pu:23:48	pu:23:76	pu:24:73
Forlì	i:16:99	pu:24:32
Fortune	i:7:62	i:7:68	i:15:93	i:15:95	pa:16:84
Fra Dolcino	i:28:55
France	i:19:87	pu:7:109	pu:20:51	pu:20:71	pa:15:120
Francesca	i:5:116
Francesco d’Accorso	i:15:110
Francis	i:27:112	pa:11:74	pa:22:90	pa:32:35
Franco Bolognese	pu:11:83
Frederick	i:10:119	i:23:66	pu:7:119	pa:20:63
Frederick’s	i:13:59
French	i:27:44	i:29:123	i:32:115	pu:16:126
Frisians	i:31:64
Gabriel	pa:4:47	pa:9:138
Gaddo	i:33:68
Gades	pa:27:82
Gaeta	i:26:92	pa:8:62
Gaia	pu:16:140
Galaxy	pa:14:98
Galen	i:4:143
Galicia	pa:25:18
Galigaio	pa:16:101
Gallehaut	i:5:137
Galli	pa:16:105
Gallura	i:22:82	pu:8:81
Galluzzo	pa:16:53
Ganelon	i:32:122
Ganges	pu:2:5	pu:27:4	pa:11:51
Ganymede	pu:9:23
Garda	i:20:65
Gardingo	i:23:108
Garisenda	i:31:136
Gascons	pa:27:58
Gascony	pu:20:66
Gaville	i:25:151
Genesis	i:11:107
Genoese	i:33:151	pa:9:90
Gentucca	pu:24:37
Geri del Bello	i:29:27
German	pa:8:66
Germans	i:17:21
Germany	i:20:62
Geryon	i:17:97	i:17:133	i:18:20	pu:27:23
Ghent	pu:20:46
Gherardo	pu:16:124	pu:16:133	pu:16:138
Ghibellines	pa:6:103
Ghin di Tacco	pu:6:14
Ghisolabella	i:18:55
Gianni Schicchi	i:30:32
Gianni de’ Soldanier	i:32:121
Giants	pu:12:33
Gideon	pu:24:125
Gilboa	pu:12:41
Giotto	pu:11:95
Giovanna	pu:5:89	pu:8:71	pa:12:80
Giuda	pa:16:123
Giuochi	pa:16:104
Glaucus	pa:1:68
God	i:1:131	i:2:91	i:2:103	i:3:39	i:3:63	i:3:103	i:3:108	i:3:122	i:4:38	i:7:19	i:8:60	i:11:26	i:11:31	i:11:51	i:11:74	i:11:84	i:12:119	i:14:16	i:14:70	i:19:2	i:20:19	i:24:119	i:25:3	i:25:14	pu:2:29	pu:2:123	pu:3:126	pu:4:128	pu:5:56	pu:5:104	pu:6:42	pu:6:93	pu:7:5	pu:8:12	pu:8:66	pu:9:104	pu:10:108	pu:11:71	pu:11:90	pu:14:79	pu:16:18	pu:16:40	pu:16:108	pu:16:123	pu:16:141	pu:19:76	pu:19:92	pu:19:113	pu:21:13	pu:21:20	pu:22:66	pu:23:81	pu:23:91	pu:27:6	pu:27:24	pu:28:125	pu:30:142	pu:33:36	pu:33:44	pu:33:59	pu:33:71	pa:1:105	pa:2:20	pa:2:29	pa:2:42	pa:3:108	pa:4:45	pa:5:19	pa:5:27	pa:5:28	pa:6:4	pa:6:23	pa:6:111	pa:7:30	pa:7:47	pa:7:56	pa:7:91	pa:7:103	pa:7:115	pa:7:119	pa:8:90	pa:9:62	pa:9:73	pa:10:56	pa:10:140	pa:12:17	pa:12:132	pa:13:32	pa:14:89	pa:15:29	pa:16:143	pa:17:33	pa:18:4	pa:20:110	pa:20:122	pa:20:134	pa:20:138	pa:21:92	pa:21:114	pa:22:80	pa:22:95	pa:23:114	pa:23:137	pa:24:4	pa:24:113	pa:24:130	pa:25:11	pa:25:63	pa:25:90	pa:26:48	pa:26:56	pa:26:109	pa:27:24	pa:27:57	pa:27:105	pa:28:128	pa:29:21	pa:29:77	pa:30:97	pa:30:122	pa:30:145	pa:32:113	pa:33:40
God's	i:11:105	pu:23:58
Godfrey	pa:18:47
God’s	pa:22:83	pa:32:93
Gomita	i:22:81
Gomorrah	pu:26:40
Gorgon	i:9:56
Gorgona	i:33:82
Gospel	pu:22:154	pa:9:133	pa:24:137	pa:29:96	pa:29:114
Governolo	i:20:78
Graffiacan	i:22:34
Graffiacane	i:21:122
Gratian	pa:10:104
Greater Fortune	pu:19:4
Greci	pa:16:89
Greece	i:20:108
Greek	i:30:98	i:30:122	pu:22:101	pa:20:57
Greeks	i:26:75	pu:9:39	pu:22:88	pu:22:108	pa:5:69
Gregory	pu:10:75	pa:28:133
Griffin	pu:32:43
Gualandi	i:33:32
Gualdo	pa:11:48
Gualdrada	i:16:37
Gualterotti	pa:16:133
Gubbio	pu:11:80
Guelphs	pa:6:107
Guglielmo Aldobrandeschi	pu:11:59
Guido	i:10:63	i:28:77	i:30:77	pu:11:97
Guido Bonatti	i:20:118
Guido Guerra	i:16:38
Guido Guinizzelli	pu:26:92
Guido da Castel	pu:16:125
Guido da Prata	pu:14:104
Guido del Duca	pu:14:81
Guido di Carpigna	pu:14:98
Guiglielmo Borsiere	i:16:70
Guinevere	pa:16:15
Guittone	pu:24:56	pu:26:124
Hannibal	i:31:117
Harpies	i:13:10	i:13:101
Heaven	i:2:94	i:4:78	i:6:84	i:9:29	i:9:85	i:9:91	i:11:22	i:11:81	i:21:83	pa:10:70	pa:16:6	pa:19:28	pa:22:7	pa:22:8	pa:27:30	pa:27:35
Hebrew	pa:32:17
Hebrews	pu:4:83	pu:24:124	pa:5:49
Hector	i:4:122	pa:6:68
Hecuba	i:30:16
Helen	i:5:64
Helice	pu:25:131	pa:31:32
Helicon	pu:29:40
Heliodorus	pu:20:113
Helios	pa:14:96
Hell	i:1:110	i:5:10	i:6:40	i:6:84	i:8:75	i:10:36	i:16:33	i:18:1	i:25:13	i:26:3	i:28:50	i:29:96	i:34:1	i:34:81	pu:1:129	pu:7:21	pu:16:1	pu:21:32	pu:22:14	pa:6:74	pa:20:106	pa:31:81	pa:32:33
Hellespont	pu:28:71
Henry	pa:17:82	pa:30:137
Henry of England	pu:7:131
Heraclitus	i:4:138
Hercules	i:25:32	i:26:108	i:31:132
Hermitage	pu:5:96
Hippocrates	i:4:143	pu:29:137
Hippolytus	pa:17:46
His	pa:5:20
Holofernes	pu:12:59
Holy Church	pu:3:137	pa:4:46	pa:5:35	pa:32:125
Holy Land	pa:9:125
Holy Scripture	pa:32:68
Holy Spirit	pu:20:98	pa:3:53	pa:14:76	pa:19:101	pa:20:38	pa:21:128	pa:24:92	pa:27:1	pa:29:41
Homer	i:4:88
Honorius	pa:11:98
Horace	i:4:89
Hugh Capet	pu:20:49
Hugh of Saint Victor	pa:12:133
Hungary	pa:19:142
Hunger	i:33:23
Hyperion	pa:22:142
Hypsipyle	i:18:92
Iacopo Rusticucci	i:16:44
Iarbas	pu:31:72
Ibero	pu:27:3
Icarus	i:17:109
Ida	i:14:98
Iddio	pu:13:117
Ilerda	pu:18:101
Ilion	i:1:75	pu:12:62
Illuminato	pa:12:130
Importuni	pa:16:133
India	i:14:32
Indian	pu:26:21
Indians	pu:32:41	pa:29:101
Indus	pa:19:71
Infangato	pa:16:123
Innocent	pa:11:92
Iole	pa:9:102
Iphigenia	pa:5:70
Isaiah	pa:25:91
Isidore	pa:10:131
Ismene	pu:22:111
Ismenus	pu:18:91
Israel	i:4:59
Isräel	pu:2:46
Italia	pu:13:96
Italian	i:22:65	i:29:88	pu:11:58	pu:13:92	pa:11:105
Italians	i:29:91
Italy	i:1:106	i:9:114	i:20:61	pu:6:76	pu:6:124	pu:7:95	pu:20:67	pu:30:86	pa:21:106	pa:30:137
Jacob	pa:8:131	pa:22:70
Jacopo	i:13:133
Jacopo Rusticucci	i:6:80
James	pu:7:119	pu:32:76
Janus	pa:6:81
Jason	i:18:86	i:19:85	pa:2:18
Jehoshaphat	i:10:11
Jephthah	pa:5:66
Jerome	pa:29:37
Jerusalem	pu:2:3	pu:23:29	pa:19:127	pa:25:56
Jesus	pa:25:33
Jesus Christ	pa:31:107
Jew	pa:5:81
Jews	i:23:123	i:27:87	pa:7:47	pa:29:102
Joachim	pa:12:140
Jocasta	pu:22:56
John	pu:29:105	pu:32:76	pa:4:29	pa:32:31
Jordan	pu:18:135	pa:22:94
Joseph	i:30:97
Joshua	pu:20:111	pa:9:125	pa:18:38
Jove	i:14:52	i:31:92	pu:6:118	pu:32:112	pa:22:145
Jovial Friars	i:23:103
Juba	pa:6:70
Judas	i:9:27	i:31:143	pu:20:74	pu:21:84
Judas Iscariot	i:34:62
Judecca	i:34:117
Judith	pa:32:10
Julia	i:4:128
Julius	i:1:70
Juno	i:30:1	pa:12:12	pa:28:32
Jupiter	i:31:44	pu:29:120	pa:4:63	pa:18:95	pa:27:14
Justinian	pu:6:88	pa:6:10
Juvenal	pu:22:14
La Mira	pu:5:79
Labïa mëa	pu:23:11
Lacedaemon	pu:6:139
Lachesis	pu:25:79
Ladies who have understanding of love	pu:24:51
Lamone	i:27:49
Lancelot	i:5:128
Lanfranchi	i:33:32
Langia	pu:22:112
Lano	i:13:120
Lapis	pa:29:103
Lapo Salterello	pa:15:128
Lateran	i:27:86	pa:31:35
Latin	i:27:26	i:27:33	i:28:71
Latins	pu:7:16
Latinus	i:4:125
Latona	pu:20:131	pa:10:67	pa:22:139	pa:29:1
Lavinia	i:4:126	pu:17:37	pa:6:3
Lawrence	pa:4:83
Leah	pu:27:101
Leander	pu:28:73
Learchus	i:30:10
Leda	pa:27:98
Lemnos	i:18:88
Lerici	pu:3:49
Lethe	i:14:131	i:14:136	pu:26:108	pu:28:130	pu:30:143	pu:33:96	pu:33:123
Levi	pu:16:132
Libano	pu:30:11
Libicocco	i:21:121	i:22:70
Libra	pu:27:3
Libya	i:24:85
Lille	pu:20:46
Limoges	pu:26:120
Linus	i:4:141	pa:27:41
Lion	pa:16:37	pa:21:14
Livy	i:28:12
Lizio	pu:14:97
Loderingo	i:23:104
Logodoro	i:22:89
Lombard	i:27:20	pu:6:61	pu:16:46	pu:16:126	pa:6:94
Lombards	i:1:68	i:22:99
Lord	pu:30:83
Louises	pu:20:50
Love	pu:31:117	pa:28:12
Love that in my mind discourses to me	pu:2:112
Lucan	i:4:90	i:25:94
Lucca	i:18:122	i:33:30	pu:24:35
Lucia	i:2:97	i:2:100	pu:9:55	pa:32:137
Lucifer	i:31:143	i:34:89
Lucretia	i:4:128
Luke	pu:21:7
Luni	i:20:47	pa:16:73
Lycurgus	pu:26:94
Macarius	pa:22:49
Maccabee	pa:18:40
Maccabees	i:19:86
Macra	pa:9:89
Maia	pa:22:143
Majorca	i:28:82
Malacoda	i:21:76	i:21:79
Malebolge	i:18:1	i:21:5	i:24:37	i:29:41
Malebranche	i:21:37	i:22:100	i:23:23	i:33:142
Malta	pa:9:54
Manfred	pu:3:112
Manto	i:20:55
Mantua	i:20:93	pu:6:72
Mantuan	pu:6:74
Mantuans	i:1:69
Marcabò	i:28:75
Marcellus	pu:6:125
Marcia	i:4:128	pu:1:79	pu:1:85
Marco	pu:16:46	pu:16:130
Maremma	i:25:19	i:29:48	pu:5:134
Margaret	pu:7:128
Maria	pu:8:37	pa:3:122	pa:32:95
Mars	i:24:145	i:31:51	pu:2:14	pu:12:31	pa:4:63	pa:8:132	pa:14:100	pa:16:47	pa:27:14
Marseilles	pu:18:102
Marsyas	pa:1:20
Martino	pa:13:139
Mary	pu:3:39	pu:5:101	pu:10:50	pu:13:50	pu:18:100	pu:20:19	pu:22:142	pu:23:30	pu:33:6	pa:4:30	pa:11:71	pa:14:36	pa:15:133	pa:23:111	pa:23:126	pa:23:137	pa:32:4	pa:32:107	pa:32:113
Marzucco	pu:6:18
Master Adam	i:30:61	i:30:104
Matelda	pu:33:119
Matthias	i:19:94
Medea	i:18:96
Medusa	i:9:52
Megaera	i:9:46
Melchizedek	pa:8:125
Meleager	pu:25:22
Melisso	pa:13:125
Menalippus	i:32:131
Mercury	pa:4:63
Messer Marchese	pu:24:31
Metellus	pu:9:137
Michael	i:7:11	pu:13:51	pa:4:47
Michael Scot	i:20:116
Michal	pu:10:68	pu:10:72
Michel Zanche	i:22:88	i:33:144
Midas	pu:20:106
Midian	pu:24:126
Milan	pu:18:120
Milanese	pu:8:80
Mincio	i:20:77
Minerva	pu:30:68	pa:2:8
Minor Friars	i:23:3
Minos	i:5:4	i:5:17	i:13:96	i:20:36	i:27:124	i:29:120	pu:1:77	pa:13:14
Minotaur	i:12:25
Miserere	pu:5:24
Modena	pa:6:75
Monaldi	pu:6:107
Mongibello	i:14:56
Montagna	i:27:47
Montaperti	i:32:81
Monte Viso	i:16:95
Montecchi	pu:6:106
Montefeltro	pu:5:88
Montemalo	pa:15:109
Montemurlo	pa:16:64
Monteriggioni	i:31:41
Montferrat	pu:7:136
Mordecai	pu:17:29
Morocco	i:26:104	pu:4:139
Moronto	pa:15:136
Mosca	i:6:80	i:28:106
Moses	i:4:57	pu:32:80	pa:4:29	pa:24:136	pa:26:41
Mount Aventine	i:25:26
Mucius	pa:4:84
Muda	i:33:22
Muhammad	i:28:31	i:28:62
Muses	i:2:7	pu:1:8	pu:22:102	pa:2:9	pa:12:7
Myrrha	i:30:38
Naiads	pu:33:49
Naples	pu:3:27
Narcissus	i:30:128
Nasidius	i:25:95
Nathan	pa:12:136
Navarre	i:22:48	pa:19:143
Navarrese	i:22:121
Nazareth	pa:9:137
Nebuchadnezzar	pa:4:14
Nella	pu:23:87
Neptune	i:28:83	pa:33:96
Nerli	pa:15:115
Nessus	i:12:67	i:12:98	i:13:1
Niccolò	i:29:127
Nicholas	pu:20:32
Nicosia	pa:19:146
Nile	i:34:45	pu:24:64	pa:6:66
Nimrod	i:31:77	pu:12:34	pa:26:126
Nino	pu:8:53
Ninus	i:5:59
Niobe	pu:12:37
Nisus	i:1:108
Noah	i:4:56	pa:12:17
Nocera	pa:11:48
Noli	pu:4:25
Normandy	pu:20:66
North	pu:4:60
North Wind	pu:32:99
Norway	pa:19:139
Novarese	i:28:59
Octavian	pu:7:6
Oderisi	pu:11:79
Olympus	pu:24:15
Omberto	pu:11:67
Opizzo da Esti	i:12:111
Orestes	pu:13:32
Oriaco	pu:5:80
Orient	pa:11:54
Ormanni	pa:16:89
Orpheus	i:4:140
Ostiense	pa:12:83
Ottokar	pu:7:100
Ovid	i:4:90	i:25:97
Pachino	pa:8:68
Padua	pa:9:46
Paduan	i:17:70
Paduans	i:15:7
Paean	pa:13:25
Pagan	pa:20:104
