El（エル）	pa:26:136
ガリセンダ	i:31:136
ガルダ	i:20:65
ガルディンゴ	i:23:108
ガレオット	i:5:137
ガレノス	i:4:143
ガンジス	pa:11:51
ガンジス川	pu:2:5	pu:27:4
ガヴィッレ	i:25:151
キアッシ	pu:28:20
キアヴェリ	pu:19:100
キアーナ川	pa:13:23
キウージ	pa:16:75
キテレア	pu:27:95
キプロス	i:28:82	pa:8:2
キュラ	pa:1:36
キュロス	pu:12:56
キリスト	pu:20:87	pu:21:8	pu:23:74	pu:26:129	pu:32:102	pa:6:14	pa:9:120	pa:11:72	pa:11:102	pa:11:107	pa:12:37	pa:12:71	pa:12:73	pa:12:75	pa:14:104	pa:14:106	pa:14:108	pa:17:51	pa:19:71	pa:19:104	pa:19:106	pa:19:108	pa:20:47	pa:23:20	pa:23:72	pa:25:15	pa:26:52	pa:27:40	pa:29:98	pa:29:109	pa:31:3	pa:32:19	pa:32:24	pa:32:27	pa:32:83	pa:32:85	pa:32:87	pa:32:124
キリスト教徒	i:27:88	pu:10:121	pa:5:73	pa:19:109	pa:20:104
キルケ	i:26:91	pu:14:42
キンキナトゥス	pa:15:129
ギゾラベッラ	i:18:55
ギデオン	pu:24:125
ギベリン党	pa:6:103
ギリシャ	i:20:108
ギリシャ人	i:26:74	i:30:98	i:30:122	pu:22:88	pu:22:101	pa:5:69	pa:20:57
ギリシャ人たち	pu:9:39	pu:22:108
ギルボア	pu:12:41
ギーン・ディ・タッコ	pu:6:14
クィリヌス	pa:8:131
クィンクティウス	pa:6:46
クセルクセス	pa:8:124
クニッツァ	pa:9:32
クピードー	pa:8:7
クラッスス	pu:20:116
クリオ	i:28:102	pu:22:58
クリメネ	pa:17:1
クリュソストモス	pa:12:137
クリュニー	i:23:63
クレウサ	pa:9:98
クレオパトラ	i:5:63	pa:6:76
クレタ	i:12:12	i:14:95
クレトゥス	pa:27:41
クレメンス	pu:3:125
クレメンツァ	pa:9:1
クロアチア	pa:31:103
クロート	pu:21:27
グアランディ家	i:33:32
グアルテロッティ家	pa:16:133
グアルド	pa:11:48
グアルドラーダ	i:16:37
グィネヴィア	pa:16:15
グイッツァンテ	i:15:4
グイットーネ	pu:24:56	pu:26:124
グイド	i:10:63	i:28:77	i:30:77	pu:11:97
グイド・グイニツェッリ	pu:26:92
グイド・グエッラ	i:16:38
グイド・ダ・カステル	pu:16:125
グイド・ダ・プラータ	pu:14:104
グイド・ディ・カルピーニャ	pu:14:98
グイド・デル・ドゥーカ	pu:14:81
グイド・ボナッティ	i:20:118
グイド伯	pa:16:98
グエルフ党	pa:6:107
グッビオ	pu:11:80
グラウコス	pa:1:68
グラッフィアカーネ	i:21:122	i:22:34
グラティアヌス	pa:10:103
グリエルモ	pu:7:134	pa:18:46	pa:20:62
グリエルモ・アルドブランデスコ	pu:11:59
グリエルモ・ボルシエーレ	i:16:70
グリフォン	pu:32:43	pu:32:89
グレゴリウス	pu:10:75	pa:28:133
グレーチ家	pa:16:89
ケイロン	i:12:65	i:12:71	i:12:77	i:12:97	pu:9:37
ケファス	pa:21:127
ケリドリ	i:24:86
ケルベロス	i:6:13	i:6:22	i:6:32	i:9:98
ケルンのアルベルトゥス	pa:10:97
ケンクリ	i:24:87
ケンタウロス	i:12:56
ゲラルド	pu:16:124	pu:16:133	pu:16:138
ゲリュオン	i:17:97	i:17:133	i:18:19	pu:27:23
コキュートス	i:14:119	i:31:123	i:33:156	i:34:52
コスタンツァ	pu:3:113	pu:3:143	pu:7:129	pa:3:118	pa:4:98
コゼンツァ	pu:3:124
コッラディーノ	pu:20:68
コッラード	pu:8:65
コッラード・ダ・パラッツォ	pu:16:124
コッラード・マラスピーナ	pu:8:118
コッレ	pu:13:115
コルキス	i:18:87
コルコ	pa:2:16
コルシ	pu:18:81
コルネリア	i:4:128	pa:15:129
コルネート	i:13:9
コンスタンティヌス	i:19:115	i:27:94	pa:6:1
コンティ家	pa:16:64
コンラート	pa:15:139
コーニオ	pu:14:116
コーロ	i:11:114
ゴッティフレーディ	pa:18:47
ゴミタ	i:22:81
ゴモラ	pu:26:40
ゴルゴン	i:9:56
ゴルゴーナ	i:33:82
ゴヴェルノル	i:20:78
サウル	pu:12:40
サタン	i:7:1
サッケッティ家	pa:16:104
サッソル・マスケローニ	i:32:65
サッフィラ	pu:20:112
サバオト	pa:7:1
サビニ	pa:6:40
サピーア	pu:13:109
サベッリウス	pa:13:127
サベッルス	i:25:95
サマリア	pu:21:3
サムエル	pa:4:29
サラ	pa:32:10
サラセン	pu:23:103
サラセン人	i:27:87
サラディン	i:4:129
サルダナパロス	pa:15:107
サルディ	pu:18:81
サルデーニャ	i:22:89	i:26:104	i:29:47	pu:23:94
サルヴェ・レジーナ	pu:7:82
サン=ヴィクトルのフーゴー	pa:12:133
サンタフィオーラ	pu:6:111
サンタ・ツィータ	i:21:38
サンテルノ	i:27:49
サント・ヴォルト	i:21:48
サンレオ	pu:4:25
サン・ジョヴァンニ	i:19:16
サン・ゼーノ	pu:18:118
サン・ピエトロ	i:31:59
サン・ベネデット・デッラルペ	i:16:100
サヴィオ川	i:27:52
サーヴェナ川	i:18:60
シエストリ	pu:19:100
シエナ	pu:5:134	pu:11:111	pu:11:123	pu:11:134	pu:13:106
シエナのアルベーロ	i:29:109
シエナ人	i:29:122	i:29:133	pu:11:65
シオン	pu:4:68
シクストゥス	pa:27:44
シケオ	i:5:62	pa:9:98
シジェール	pa:10:135
シズモンディ家	i:33:32
シチリア	i:12:108	i:27:7	pu:3:116
シニガッリア	pa:16:75
シノン	i:30:98	i:30:116
シビュラ	pa:33:66
シミフォンティ	pa:16:62
シモエイス川	pa:6:67
シモニデス	pu:22:107
シモン	pa:30:147
シモン・マグス	i:19:1
シャルル	i:19:99	pu:5:69	pu:11:137	pu:20:67	pu:20:71	pa:6:106	pa:8:72	pa:20:63
シュヴァーベン	pa:3:119
シラッテ	i:27:95
シリンクス	pu:32:65
シルウィウス	i:2:13
シルウェステル	i:27:94
シルヴェストロ	pa:11:83
シロッコ	pu:28:21
シーツィ家	pa:16:108
シーニャ	pa:16:56
シーレ	pa:9:49
ジェノヴァ人	i:33:151	pa:9:90
ジェンツッカ	pu:24:37
ジェーリ・デル・ベッロ	i:29:27
ジャンニ・スキッキ	i:30:32
ジャンニ・デ・ソルダニエール	i:32:121
ジュオーキ家	pa:16:104
ジュデッカ	i:34:117
ジョット	pu:11:95
ジョヴァッキーノ	pa:12:140
ジョヴァンナ	pu:5:89	pu:8:71	pa:12:80
スカルドヴァ	i:29:83
スカルミリオーネ	i:21:105
スキピオ	i:31:116	pa:6:52	pa:27:61
スキロス	pu:9:37
スコットランド人	pa:19:122
スタティウス	pu:21:91	pu:22:25	pu:24:119	pu:25:29	pu:25:32	pu:27:47	pu:32:29	pu:33:134
ステュクス	i:7:106	i:9:81	i:14:116
ストリッカ	i:29:125
ストロファデス	i:13:11
スフィンクス	pu:33:47
スペイン	i:26:103	pu:18:102	pa:6:64	pa:19:125
スペイン人	pa:29:101
スラブ	pu:30:87
セイレーン	pu:31:45	pa:12:8
セウタ	i:26:111
セクストゥス	i:12:135
セストス	pu:28:74
セナール	pu:12:36
セネカ	i:4:141
セビリア	i:20:126	i:26:110
セミラミス	i:5:58
セメレ	i:30:2	pa:21:6
セラフィム	pa:8:27
セルキオ川	i:21:49
セルセ	pu:28:71
センナケリブ	pu:12:53
セーヌ川	pa:6:59	pa:19:118
ゼノン	i:4:138
ゼフュロス	pa:12:46
ソクラテス	i:4:134
ソドム	i:11:50	pu:26:40	pu:26:79
ソルグ川	pa:8:59
ソルダニエーリ家	pa:16:93
ソルダノ	i:27:90
ソルデッロ	pu:6:74	pu:7:3	pu:7:52	pu:8:38	pu:8:43	pu:8:62	pu:8:94	pu:9:58
ソロン	pa:8:124
ソール門	pa:11:46
タイス	i:18:133
タウマース	pu:21:50
タッデオ	pa:12:83
タナイス川	i:32:27
タミリス	pu:12:56
タラモーネ	pu:13:152
タリアコッツォ	i:28:17
タリアメント	pa:9:44
タルクィニウス	i:4:127
タルタル人	i:17:17
タルペイア	pu:9:137
タレス	i:4:137
タンベルニッキ山	i:32:28
ダイダロス	i:29:116
ダニエル	pu:22:146	pa:4:13	pa:29:133
ダミアッタ	i:14:104
ダンテ	pu:30:55
ダヴィデ	i:4:58	i:28:138
チェチリオ	pu:22:98
チェペラーノ	i:28:16
チェルキ家	pa:16:65
チェルタルド	pa:16:49
チェルヴィア	i:27:42
チェーチナ	i:13:9
チエルダウロ	pa:10:127
チマブーエ	pu:11:94
チャッコ	i:6:52	i:6:58
チャンゲッラ	pa:15:128
チャンファ	i:25:43
チリアット	i:21:122	i:22:55
ティグリス	pu:33:112
ティスベ	pu:27:37
ティテュオス	i:31:124
ティトゥス	pu:21:82	pa:6:92
ティトーネ	pu:9:1
ティフェオ	pa:8:70
ティマイオス	pa:4:49
ティラッリ	i:20:63
ティレシアス	i:20:40	pu:22:113
ティンブレオ	pu:12:31
ティーシポネー	i:9:48
テセウス	i:9:54	pu:24:123
テゾーロ	i:15:119
テッギアイオ	i:6:79
テッギアイオ・アルドブランディ	i:16:41
テティス	pu:22:113
テバルデッロ	i:32:122
テバルド	i:22:52
テミス	pu:33:47
テムズ川	i:12:120
テュデウス	i:32:130
テュポン	i:31:124
テレンティウス	pu:22:97
テヴェレ	pa:11:106
テヴェレ川	i:27:30	pu:2:101
テ・デウム・ラウダムス	pu:9:140
テ・ルチス・アンテ	pu:8:13
テーバイ	i:14:69	i:25:15	i:30:2	i:30:22	i:32:11	i:33:89	pu:21:92	pu:22:88
テーバイ人	pu:18:93
テーバイ人たち	i:20:32
ディアナ	pu:25:131
ディアーナ	pu:13:153
ディオゲネス	i:4:137
ディオスコリデス	i:4:140
ディオニュシオス	i:12:107	pa:28:130
ディオメデス	i:26:56
ディオーネー	pa:8:7	pa:22:144
ディーテ	i:8:68	i:11:65	i:12:39	i:34:20
ディードー	i:5:85	pa:8:9
デイアニラ	i:12:68
デイダミア	i:26:62	pu:22:114
デイフィレ	pu:22:110
デキウス家	pa:6:47
デッラ・アルカ家	pa:16:92
デッラ・サンネッラ家	pa:16:92
デッラ・プレッサ家	pa:16:100
デッラ・ペーラ家	pa:16:126
デモクリトス	i:4:136
デモフォオンテ	pa:9:101
デルポイ	pa:1:32
デレクタスティ	pu:28:80
デーロス島	pu:20:130
トゥッリウス	i:4:141
トゥピーノ川	pa:11:43
トゥルヌス	i:1:108
トゥルビーア	pu:3:49
トゥール	pu:24:23
トゥールーズ	pu:21:89
トスカーナ	i:23:76	i:24:122	i:28:108	pu:11:110	pu:13:149	pu:14:16	pu:16:137	pa:22:117
トスカーナ人	i:10:22	i:22:99	i:23:91	i:32:66	pu:11:58	pu:14:103	pu:14:124	pa:9:90
トッポ	i:13:120
トビア	pa:4:48
トマス	pu:20:69	pa:10:98	pa:12:110	pa:12:144
トマス・アクィナス	pa:14:6
トラヤヌス	pu:10:76
トラヴェルサーリ家	pu:14:107
トリスタン	i:5:67
トリナクリア	pa:8:67
トリヴィア	pa:23:26
トルクァトゥス	pa:6:46
トルコ人	i:17:17
トレスピアーノ	pa:16:53
トレンティーノ	i:20:67
トレント	i:12:4
トロイア	i:1:74	i:26:59	i:30:22	i:30:98	i:30:114	pu:12:61
トロイア人	i:13:11	i:28:10	i:30:14	pa:15:126	pa:20:68
トロメア	i:33:124
トロント川	pa:8:63
トローニ	pa:9:61
ドイツ	i:20:62	pu:6:97	pa:8:66
ドイツ人	i:17:21
ドゥエ	pu:20:46
ドゥエーラ	i:32:116
ドゥラッツォ	pa:6:65
ドナウ川	i:32:25	pa:8:65
ドナトゥス	pa:12:137
ドミティアヌス	pu:22:83
ドミニコ	pa:10:94	pa:12:70
ドラギニャッツォ	i:21:121	i:22:73
ドルチーノ修道士	i:28:55
ドンノ・ミケーレ・ザンケ	i:22:88
ナイアス	pu:33:49
ナイル川	i:34:45	pu:24:64	pa:6:66
ナザレ	pa:9:137
ナシディウス	i:25:95
ナタン	pa:12:136
ナバラ	pa:19:143
ナポリ	pu:3:27
ナルキッソス	i:30:128
ナヴァッラ	i:22:121
ナヴァッラ王国	i:22:48
ニオベ	pu:12:37
ニコシア	pa:19:146
ニソス	i:1:108
ニッコロ	i:29:127
ニッコロー	pu:20:32
ニノス	i:5:59
ニーノ	pu:8:53
ネッソス	i:12:67	i:12:98	i:13:1
ネッラ	pu:23:87
ネブカドネザル	pa:4:14
ネプトゥヌス	i:28:83	pa:33:96
ネルリ	pa:15:115
ネンブロット	i:31:77	pu:12:34	pa:26:126
ノア	i:4:56	pa:12:17
ノチェーラ	pa:11:48
ノルウェー	pa:19:139
ノルマンディー	pu:20:66
ノヴァーラ人	i:28:59
ノーリ	pu:4:25
ハイメ	pu:7:119
ハインリヒ	pa:17:82	pa:30:137
ハルピュイア	i:13:10	i:13:101
ハンガリー	pa:19:142
ハンニバル	i:31:117	pa:6:49
バッキリオーネ	i:15:113
バッコス	i:20:59	pu:18:93	pa:13:25
バティスタ	i:30:74
バニャカヴァル	pu:14:115
バニョレージョ	pa:12:128
バビロン	pa:23:134
バルッチ家	pa:16:104
バルバリッチャ	i:21:120	i:22:29	i:22:59	i:22:145
バルバロッサ	pu:18:119
バルバージャ	pu:23:94	pu:23:96
バーリ	pa:8:62
パイアン	pa:13:25
パウロ	i:2:32	pa:18:131	pa:18:136
パエトン	i:17:107	pu:4:72	pa:31:124
パガーニ家	pu:14:118
パキーノ岬	pa:8:68
パシパエ	pu:26:41
パッランテ	pa:6:35
パドヴァ	pa:9:46
パドヴァ人	i:15:7	i:17:70
パラス	pu:12:31
パラディオン	i:26:63
パリ	pu:11:81	pu:20:52
パリス	i:5:67
パルナッソス	pu:22:65	pu:28:141	pu:31:140	pa:1:16
パルメニデス	pa:13:125
パレストリーナ	i:27:102
パレルモ	pa:8:75
ヒエロニムス	pa:29:37
ヒッポリュトス	pa:17:46
ヒポクラテス	i:4:143	pu:29:136	pu:29:137
ヒュドラ	i:9:40
ヒュプシピュレ	i:18:92
ヒュペリオン	pa:22:142
ビズマントヴァ	pu:4:26
ビゼンツォ川	i:32:56
ビンディ	pa:29:103
ピアーヴェ	pa:9:27
ピウス	pa:27:44
ピエトラ	pu:18:83
ピエトラパーナ山	i:32:29
ピエトロ	pa:10:106	pa:21:122	pa:22:88	pa:25:12
ピエトロ・ダミアーノ	pa:21:121
ピエトロ・ベルナルドーネ	pa:11:89
ピエトロ・ペッカトール	pa:21:122
ピエロ	i:2:24
ピエール	pu:7:125
ピエール・ダ・メディチーナ	i:28:73
ピエール・ダ・ラ・ブロッチャ	pu:6:22
ピエール・トラヴェルサーロ	pu:14:98
ピエール・ペッティナイオ	pu:13:128
ピグマリオン	pu:20:103
ピサ	i:33:30	i:33:79	pu:6:17
ピシストラトス	pu:15:101
ピストイア	i:24:126	i:24:143	i:25:10
ピッカルダ	pu:24:10	pa:3:49	pa:4:97	pa:4:112
ピナモンテ	i:20:96
ピュラモス	pu:27:37	pu:33:69
ピュロス	i:12:135	pa:6:44
ピラト	pu:20:91
ピリ家	pa:16:103
ピーア	pu:5:133
ピーケ	pu:1:11
ファエンツァ	i:32:123	pu:14:101
ファッブロ	pu:14:100
ファビウス家	pa:6:47
ファブリツィウス	pu:20:25
ファマグスタ	pa:19:146
ファリサイ人	i:27:85
ファリサイ人たち	i:23:116
ファリナータ	i:6:79	i:10:32
ファルサリア	pa:6:65
ファルテローナ	pu:14:17
ファルファレッロ	i:21:123	i:22:94
ファレエ	i:24:86
ファーノ	i:28:76	pu:5:71
フィアルテ	i:31:94	i:31:108
フィエーゾレ	i:15:62	i:15:73	pa:15:126	pa:16:122
フィファンティ家	pa:16:104
フィリッピ家	pa:16:89
フィリップ家	pu:20:50
フィリッペスキ家	pu:6:107
フィリッポ・アルジェンティ	i:8:61
フィレンツェ	i:8:62	i:10:91	i:16:75	i:24:144	i:26:1	i:32:120	i:33:11	pu:6:127	pu:11:113	pu:20:75	pu:23:96	pu:23:101	pa:15:97	pa:16:84	pa:16:111	pa:16:146	pa:16:149	pa:17:48	pa:29:103	pa:31:39
フィレンツェ人	i:17:70	pa:16:61
フィレンツェ人たち	pa:16:86
フェッギーネ	pa:16:49
フェデリーコ	pu:7:119	pa:20:63
フェデリーゴ	i:13:58
フェデリーゴ・ティニョーゾ	pu:14:106
フェデリーゴ・ノヴェッロ	pu:6:17
フェラーラ人	pa:9:56
フェリーチェ	pa:12:79
フェルト	i:1:105
フェルトロ	pa:9:52
フォカッチャ	i:32:63
フォカーラ	i:28:89
フォティヌス	i:11:9
フォルコ	pa:9:94
フォルリ	i:16:99	pu:24:32
フォレーゼ	pu:23:48	pu:23:76	pu:24:74
フォンテ・ブレンダ	i:30:78
フューリー	i:9:38
フランコ・ボロニェーゼ	pu:11:83
フランス	i:19:87	pu:7:109	pu:16:126	pu:20:51	pu:20:71	pa:15:120
フランス人	i:29:123	i:32:115
フランス人たち	i:27:44
フランチェスカ	i:5:116
フランチェスコ	i:27:112	pa:11:74	pa:22:90	pa:32:35
フランチェスコ・ダッコルソ	i:15:110
フランチェスコ会	i:27:67
フランドル人	i:15:4
フリジア人	i:31:64
フリードリヒ	i:23:66	pu:16:117
フレギアス	i:8:19	i:8:24
フレグラ	i:14:58
ブオンコンテ	pu:5:88
ブオンデルモンテ	pa:16:140
ブオンデルモンティ家	pa:16:66
ブオーゾ	i:25:140
ブオーゾ・ドナーティ	i:30:44
ブジェア	pa:9:92
ブラバンテ	pu:6:23
ブランカ	i:33:145
ブランカ・ドーリア	i:33:137	i:33:140
ブリアレオス	i:31:98	pu:12:28
ブリカーメ	i:14:79
ブリガータ	i:33:89
ブリッソ	pa:13:125
ブリンディジ	pu:3:27
ブルッヘ	i:15:4	pu:20:46
ブルネット	i:15:30	i:15:101
ブルネット・ラティーノ	i:15:32
ブルートゥス	i:4:127	i:34:65	pa:6:74
ブレティノーロ	pu:14:112
ブレンタ	pa:9:27
ブレンタ川	i:15:7
ブレンヌス	pa:6:44
