Italian	English	Japanese
Apennino	Apennine	アペニン
Appollo	Apollo	アポロ
Apollo	Apollo	アポロン
Amata	Amata	アマタ
Aman	Haman	アマン
Amiclate	Amyclas	アミクラーテ
Amore	Love	アモーレ
Aracne	Arachne	アラクネ
Aragona	Aragon	アラゴン
Arabi	Arabs	アラブ
Alardo	Alardo	アラルド
Alagia	Alagia	アラージャ
Arar	Arar	アラール
Alì	Ali	アリ
Aragne	Ariadne	アリアドネ
Arrio	Arius	アリウス
Alichino	Alichino	アリキーノ
Aristotele	Aristotle	アリストテレス
Archiano	Archiano	アルキアーノ
Argia	Argia	アルギア
Alcmeone	Alcmaeon	アルクマイオン
Argo	Argo	アルゴ
Argo	Argo	アルゴス
Argonauti	Argonauts	アルゴナウタイ
Argenti	Argenti	アルジェンティ
Altaforte	Altaforte	アルタフォルテ
Ardinghi	Ardinghi	アルディンギ
Artù	Arthur	アルトゥ
Arno	Arno	アルノ
Arnaut Daniel	Arnaut Daniel	アルノー
Arnaut Daniel	Arnaut Daniel	アルノー・ダニエル
Alba	Alba	アルバ・ロンガ
Arbia	Arbia	アルビア
Alberto	Alberto	アルブレヒト1世
Alpi	Alps	アルプス
Alberichi	Alberichi	アルベリーキ
Alberigo	Alberigo	アルベリーゴ
Alberti	Alberti	アルベルティ
Alberto	Alberto	アルベルト
Alberto di Cologna	Albert of Cologne	アルベルトゥス・マグヌス
Alberto	Alberto	アルベーロ
Arli	Arles	アルル
Areopago	Areopagus	アレオパゴス
Alessandro	Alessandro	アレクサンドロス
Aletto	Alecto	アレクト
Alessandria	Alessandria	アレッサンドリア
Alessandro	Alessandro	アレッサンドロ
Interminei	Interminei	アレッシオ・インテルミネイ
Arezzo	Arezzo	アレッツォ
Aretini	Aretine	アレティーニ
Aretusa	Arethusa	アレトゥーサ
Alleluia	Alleluia	アレルヤ
Aronta	Aruns	アロンタ
Anchise	Anchises	アンキセス
Angiò	Anjou	アンジュー
Angiolello	Angiolello	アンジョレッロ
Anselmo	Anselm	アンセルムス
Anselmuccio	Anselmuccio	アンセルムッチョ
Anteo	Antaeus	アンタイオス
Antandro	Antandros	アンタンドロス
Antigone	Antigone	アンティゴネ
Antifonte	Antiphon	アンティフォン
Antenora	Antenora	アンテノーラ
Antenori	Antenori	アンテーノリ
Antonio	Anthony	アントニウス
Andrea	Andrea	アンドレア
Anna	Anna	アンナ
Anfiarao	Amphiaraus	アンピアラオス
Anfïone	Amphion	アンピオン
anfisibena	amphisbaena	アンフィシベナ
Avicenna	Avicenna	アヴィケンナ
Avignone	Avignon	アヴィニョン
Ave	Ave	アヴェ
Averroè	Averroes	アヴェロエス
Aventino	Aventine	アヴェンティーノ
Ave Maria	Ave Maria	アヴェ・マリア
Giasone	Jason	イアソン
Iarba	Iarbas	イアルバ
Iesù	Jesus	イエス
Gesù Cristo	Jesus Christ	イエス・キリスト
Iole	Iole	イオレ
Icaro	Icarus	イカロス
Inghilterra	England	イギリス
Isaia	Isaiah	イザヤ
Isidoro	Isidore	イシドールス
Iscariota	Iscariot	イスカリオテ
Ismene	Ismene	イスメネ
Ismene	Ismene	イスメノ
Israèl	Israel	イスラエル
	Islam	イスラム
Isère	Isère	イゼール
Isopo	Aesop	イソップ
Italia	Italy	イタリア
Ibero	Ibero	イベロ
Ilïón	Ilion	イリオン
Illuminato	Illuminato	イルミナート
Ilerda	Ilerda	イレルダ
Inghilterra	England	イングランド
Indo	Indus	インダス
India	India	インド
Innocenzio	Innocent	インノケンティウス
Infangato	Infangato	インファンガート
Importuni	Importuni	インポルトゥーニ
In exitu Isräel de Aegypto	In exitu Isräel de Aegypto	イン・エクシトゥ・イスラエル
Eva	Eve	イヴ
Ida	Ida	イーデー
Imola	Imola	イーモラ
Varro	Varro	ウァロ
Venere	Venus	ウェヌス
Virgilio	Virgil	ウェルギリウス
Uguiccione	Uguiccione	ウグッチオーネ
Ugolin	Ugolin	ウゴリン
Ugolin d'Azzo	Ugolin d'Azzo	ウゴリン・ダッツォ
Ugolino	Ugolino	ウゴリーノ
Uccellatoio	Uccellatoio	ウッチェラトーイオ
Utica	Utica	ウティカ
Ubaldin	Ubaldin	ウバルディン
Ubaldo	Ubaldo	ウバルド
Ubertin	Ubertin	ウベルティン・ドナート
Uranìe	Urania	ウラニア
Vulcano	Vulcan	ウルカヌス
Urbano	Urban	ウルバヌス
Orbino	Urbino	ウルビーノ
Ughi	Ughi	ウーギ
Euclide	Euclid	エウクレイデス
Eünoè	Eunoë	エウノエ
Euripide	Euripides	エウリピデス
Euripilo	Eurypylus	エウリピュロス
Eurialo	Euryalus	エウリュアロス
Euro	Eurus	エウロス
Europa	Europa	エウロパ
Ëolo	Aeolus	エオロ
Esaù	Esau	エサウ
Egidio	Giles	エジディオ
Egitto	Egypt	エジプト
Esti	Este	エステ
Esti	Esti	エスティ
Ester	Esther	エステル
Ezechïel	Ezekiel	エゼキエル
Etiopia	Ethiopia	エチオピア
Ecce ancilla Dei	Ecce ancilla Dei	エッケ・アンチルラ・デイ
Eteòcle	Eteocles	エテオクレ
Eden	Eden	エデン
Etruschi	Etruscan	エトルリア
Epicuro	Epicurus	エピクロス
Ifigenia	Iphigenia	エフィジェニア
Iefte	Jephthah	エフタ
Ebro	Ebro	エブロ
Ema	Ema	エマ
Emaus	Emmaus	エマオ
Elì	Eli	エリ
Eritón	Erichtho	エリクトー
Gerico	Jericho	エリコ
Eliso	Elysium	エリシオン
Erisittone	Erysichthon	エリシクトン
Eliseo	Eliseo	エリゼオ
Eliso	Eliseo	エリソ
Elia	Elijah	エリヤ
elitropia	heliotrope	エリートロピア
Erine	Erinyes	エリーニュス
Elì	Eli	エル
Elsa	Elsa	エルサ
Ierusalemme	Jerusalem	エルサレム
Elba	Elbe	エルベ
Elmo	Elmo	エルモ
Eletra	Electra	エレクトラ
Empireo	Empyrean	エンピレオ
Empedoclès	Empedocles	エンペドクレス
Eva	Eve	エヴァ
Ovidio	Ovid	オウィディウス
Ottavian	Octavian	オクタウィアヌス
Ostïense	Ostiense	オスティエンセ
Ottacchero	Ottokar	オタカル2世
Ulisse	Ulysses	オデュッセウス
Oderisi	Oderisi	オデリージ
Opizzo	Opizzo	オピッツォ
Orïaco	Oriaco	オリアーコ
Oriente	Orient	オリエンテ
Olimpo	Olympus	オリュンポス
Orsini	Orsini	オルシーニ
Orso	Orso	オルソ
Ordelaffi	Ordelaffi	オルデラッフィ
Orbisaglia	Urbisaglia	オルビザーリア
Orfeo	Orpheus	オルフェウス
Ormanni	Ormanni	オルマンニ
Oreste	Orestes	オレステ
Orosio	Orosius	オロシウス
Omberto	Omberto	オンベルト
Aldobrandeschi	Aldobrandeschi	オンベルト・アルドブランデスキ
Austria	Austria	オーストリア
Caifas	Caiaphas	カイアファ
Caina	Caina	カイナ
Caino	Cain	カイン
Cecilio	Caecilius	カエキリウス
Cesare	Caesar	カエサル
Caorsa	Cahors	カオール
Caco	Cacus	カクス
Cacume	Cacume	カクーメ
Casalodi	Casalodi	カサロディ
Casale	Casale	カザーレ
Castel	Castel	カステル
Castore	Castor	カストル
Castrocaro	Castrocaro	カストロカーロ
Casella	Casella	カセッラ
Casentino	Casentino	カゼンティーノ
Catalano	Catalano	カタラーノ
Catalogna	Catalonia	カタルーニャ
Cassio	Cassius	カッシウス
Cassino	Cassino	カッシーノ
Caccia	Caccia	カッチャ
Cacciaguida	Cacciaguida	カッチャグイーダ
Catalano	Catalano	カッチャ・ダシャーノ
Cattolica	Cattolica	カットーリカ
Cappelletti	Cappelletti	カッペレッティ
Carrara	Carrara	カッラーラ
Catellini	Catellini	カテッリーニ
Catria	Catria	カトリア
cattolico	Catholic	カトリック
Caton	Cato	カトー
Catona	Catona	カトーナ
Cadmo	Cadmus	カドモス
Cana	Cana	カナ
Canavese	Canavese	カナヴェーゼ
Cagnazzo	Cagnazzo	カニャッツォ
Cagnan	Cagnan	カニャン
Capaneo	Capaneus	カパネウス
Capraia	Capraia	カプライア
Capricorno	Capricorn	カプリコルノ
Caprona	Caprona	カプローナ
Capocchio	Capocchio	カポッキオ
Caponsacco	Caponsacco	カポンサッコ
Camiscion	Camiscion	カミション
Cammilla	Camilla	カミッラ
Calaroga	Calaroga	カラロガ
Calliope	Calliope	カリオペ
Calisto	Callixtus	カリストゥス
Cariddi	Charybdis	カリュディス
Calcabrina	Calcabrina	カルカブリーナ
Carnaro	Quarnaro	カルナーロ
Calfucci	Calfucci	カルフッチ
Calboli	Calboli	カルボリ
Carlino	Carlino	カルリーノ
Carlo	Charles	カルロ
Carlo Martello	Charles Martel	カルロ・マルテッロ
Carentana	Carentana	カレンターナ
Caron	Charon	カロン
Cangrande	Cangrande	カングランデ
Campagnatico	Campagnatico	カンパニャーティコ
Campaldino	Campaldino	カンパルディーノ
Campi	Campi	カンピ
Campo Piceno	Campo Piceno	カンポ・ピチェーノ
Cavalcante	Cavalcante	カヴァルカンテ
Cavalcanti	Cavalcanti	カヴァルカンティ
Carlo Magno	Charlemagne	カール大帝
Gaia	Gaia	ガイア
Gaeta	Gaeta	ガエータ
Guascogna	Gascony	ガスコーニュ
Gaddo	Gaddo	ガッド
Galli	Galli	ガッリ
Galluzzo	Galluzzo	ガッルッツォ
Gallura	Gallura	ガッルーラ
Gade	Gades	ガデス
Ganimede	Ganymede	ガニュメーデース
Ganellone	Ganelon	ガヌロン
Gabriello	Gabriel	ガブリエル
Gallia	Gaul	ガリア
Galigaio	Galigaio	ガリガイオ
Galizia	Galicia	ガリシア
Garisenda	Garisenda	ガリセンダ
Garda	Garda	ガルダ
Gardingo	Gardingo	ガルディンゴ
Galeotto	Gallehault	ガレオット
Galïeno	Galen	ガレノス
Gange	Ganges	ガンジス
Gaville	Gaville	ガヴィッレ
Chiassi	Chiassi	キアッシ
Chiara	Clare	キアラ
Chiaveri	Chiavari	キアヴェリ
Chiana	Chiana	キアーナ
Chiusi	Chiusi	キウージ
Citerea	Cytherea	キテレア
Cipro	Cyprus	キプロス
Scilla	Scylla	キュラ
Ciro	Cyrus	キュロス
Cristo	Christ	キリスト
Circe	Circe	キルケ
Cincinnato	Cincinnatus	キンキナトゥス
gigante	giant	ギガス
Gigantomachia	Gigantomachy	ギガントマキア
Ghisolabella	Ghisolabella	ギゾラベッラ
Gedeon	Gideon	ギデオン
Ghibellin	Ghibellines	ギベリン
Grecia	Greece	ギリシャ
Gelboè	Gilboa	ギルボア
Ghin di Tacco	Ghin di Tacco	ギーン・ディ・タッコ
Guido di Monforte	Guy de Montfort	ギー・ド・モンフォール
Quirino	Quirinus	クィリヌス
Quinzio	Quinctius	クィンクティウス
Serse	Xerxes	クセルクセス
Cunizza	Cunizza	クニッツァ
Cupido	Cupid	クピードー
Crasso	Crassus	クラッスス
Curione	Curio	クリオ
Climenè	Clymene	クリメネ
Crisostomo	Chrysostom	クリュソストモス
Clugnì	Cluny	クリュニー
Creusa	Creusa	クレウサ
Cleopatra	Cleopatra	クレオパトラ
Creta	Crete	クレタ
Creusa	Creusa	クレトゥス
Clemente	Clement	クレメンス
Clemenza	Clemenza	クレメンツァ
Croazia	Croatia	クロアチア
Cloto	Clotho	クロート
Gualandi	Gualandi	グアランディ
Gualterotti	Gualterotti	グアルテロッティ
Gualdo	Gualdo	グアルド
Gualdrada	Gualdrada	グアルドラーダ
Ginevra	Guinevere	グィネヴィア
Guizzante	Wissant	グイッツァンテ
Guittone	Guittone	グイットーネ
Guittone	Guittone	グイットーネ・ダレッツォ
Guido	Guido	グイディ
Guido	Guido	グイド
Guinizzelli	Guinizzelli	グイド・グイニツェッリ
Guido	Guido	グイド・グエッラ
Guido di Carpigna	Guido di Carpigna	グイド・ディ・カルピーニャ
Guido del Duca	Guido del Duca	グイド・デル・ドゥーカ
Bonatti	Bonatti	グイド・ボナッティ
Guinizzelli	Guinizzelli	グイニツェッリ
Guelfi	Guelphs	グエルフ
Gubbio	Gubbio	グッビオ
Glauco	Glaucus	グラウコス
Graffiacane	Graffiacane	グラッフィアカーネ
Grazïan	Gratian	グラティアヌス
Guglielmo	Guglielmo	グリエルモ
Guiglielmo Aldobrandesco	Guglielmo Aldobrandesco	グリエルモ・アルドブランデスコ
Guiglielmo Borsiere	Guglielmo Borsiere	グリエルモ・ボルシエーレ
Gregorio	Gregory	グレゴリウス
Greci	Greeks	グレーチ
Chirone	Chiron	ケイロン
Cefas	Cephas	ケファ
Cefàs	Cephas	ケファス
Cerbero	Cerberus	ケルベロス
Colonia	Cologne	ケルン
Gherardo	Gherardo	ゲラルド
Gerione	Geryon	ゲリュオン
Cocito	Cocytus	コキュートス
Costanza	Constance	コスタンツァ
Cosenza	Cosenza	コゼンツァ
Curradino	Conradin	コッラディーノ
Corrado	Currado	コッラード
Malaspina	Malaspina	コッラード・マラスピーナ
Colle	Colle	コッレ
Colchi	Colchis	コルキス
Corsi	Corsicans	コルシ
Corso	Corso	コルソ
Cornelia	Cornelia	コルネリア
Corneto	Corneto	コルネート
Colonna	Colonna	コロンナ
Costantino	Constantine	コンスタンティヌス
Costantinopoli	Constantinople	コンスタンティノープル
Conti	Conti	コンティ
Currado	Conrad	コンラート3世
Conio	Conio	コーニオ
Gottifredi	Godfrey	ゴッティフレーディ
Gomita	Gomita	ゴミタ
Gomorra	Gomorrah	ゴモラ
Gorgón	Gorgon	ゴルゴン
Gorgona	Gorgona	ゴルゴーナ
Saul	Saul	サウル
Sacchetti	Sacchetti	サッケッティ
Mascheroni	Mascheroni	サッソル・マスケローニ
Saffira	Sapphira	サッフィラ
Sabaòt	Sabaoth	サバオト
Sabine	Sabines	サビニ
Sapìa	Sapìa	サピーア
Sabellio	Sabellius	サベッリウス
Sabello	Sabellus	サベッルス
Samaria	Samaria	サマリア
Samuel	Samuel	サムエル
Sarra	Sarah	サラ
Saracin	Saracen	サラセン
Saladino	Saladin	サラディン
Sardanapalo	Sardanapalus	サルダナパロス
Sardi	Sardinians	サルディ
Sardigna	Sardinia	サルデーニャ
Salvani	Salvani	サルヴァーニ
Salve Regina	Salve Regina	サルヴェ・レジーナ
San Vittore	Saint Victor	サン=ヴィクトル
Santafiora	Santafiora	サンタフィオーラ
Santa Zita	Santa Zita	サンタ・ツィータ
Santerno	Santerno	サンテルノ
Sant'Andrea	Sant'Andrea	サント・アンドレア
Santafiora	Santafiora	サント・アンドレーア
Sanleo	Sanleo	サンレオ
Giovanni	Giovanni	サン・ジョヴァンニ
San Zeno	San Zeno	サン・ゼーノ
San Pietro	Saint Peter	サン・ピエトロ
San Benedetto de l'Alpe	San Benedetto dell'Alpe	サン・ベネデット・デッラルペ
Savia	Savia	サヴィオ
Sàvena	Savena	サーヴェナ
Sara	Sarah	ザーラ
Sïestri	Sestri	シエストリ
Siena	Siena	シエナ
Sion	Zion	シオン
Sisto	Sixtus	シクストゥス
Sicheo	Sicheo	シケオ
Sigieri	Siger	シジェール
Sismondi	Sismondi	シズモンディ
Sicilia	Sicily	シチリア
Sinigaglia	Senigallia	シニガッリア
Sinone	Sinon	シノン
Sibilla	Sibyl	シビュラ
Simifonti	Simifonti	シミフォンティ
Simoenta	Simois	シモエイス
Simonide	Simonides	シモニデス
Simon	Simon	シモン
Simon mago	Simon Magus	シモン・マグス
Carlo	Charles	シャルル
Soave	Swabia	シュヴァーベン
Siratti	Soracte	シラッテ
Siringa	Syrinx	シリンクス
Silvio	Silvius	シルウィウス
Silvestro	Sylvester	シルウェステル
Silvestro	Silvestro	シルヴェストロ
scirocco	sirocco	シロッコ
Sizii	Sizii	シーツィ
Signa	Signa	シーニャ
Sile	Sile	シーレ
Genova	Genoa	ジェノヴァ
Gentucca	Gentucca	ジェンツッカ
Geri	Geri	ジェーリ
Geri del Bello	Geri del Bello	ジェーリ・デル・ベッロ
Gianni	Gianni	ジャンニ
Schicchi	Schicchi	ジャンニ・スキッキ
Giuochi	Giuochi	ジュオーキ
Giudecca	Judecca	ジュデッカ
Giotto	Giotto	ジョット
Giovacchino	Joachim	ジョヴァッキーノ
Giovanna	Giovanna	ジョヴァンナ
Giovanni	Giovanni	ジョヴァンニ
Scarmiglione	Scarmiglione	スカルミリオーネ
Schicchi	Schicchi	スキッキ
Scipione	Scipio	スキピオ
Sciro	Scyros	スキロス
Scozia	Scotland	スコットランド
Stazio	Statius	スタティウス
Stefano	Stephen	ステファノ
Stige	Styx	ステュクス
Stricca	Stricca	ストリッカ
Strofade	Strophades	ストロファデス
Sparta	Sparta	スパルタ
Sfinge	Sphinx	スフィンクス
Spagna	Spain	スペイン
Sperent	Sperent	スペレント・イン
	Slavic	スラブ
Sultano	Sultan	スルタン
Summae Deus clementiae	Summae Deus clementiae	スンマエ・デウス・クレメンティエ
Setta	Ceuta	セウタ
Sesto	Sextus	セクストゥス
Sesto	Sestos	セストス
Sennaar	Shinar	セナール
Seneca	Seneca	セネカ
Siviglia	Seville	セビリア
Semiramìs	Semiramis	セミラミス
Semelè	Semele	セメレ
Serchio	Serchio	セルキオ
Serse	Xerxes	セルセ
Serbia	Serbia	セルビア
Brunetto	Brunetto	セル・ブルネット
Sennacherìb	Sennacherib	センナケリブ
Senna	Seine	セーヌ
Zeno	Zeno	ゼノン
Zefiro	Zephyr	ゼフュロス
Socrate	Socrates	ソクラテス
Sodoma	Sodom	ソドム
Sorga	Sorgue	ソルグ
Soldanieri	Soldanieri	ソルダニエーリ
Soldanier	Soldanier	ソルダニエール
Soldano	Sultan	ソルダノ
Sordello	Sordello	ソルデッロ
Salomone	Solomon	ソロモン
Solone	Solon	ソロン
Taide	Thaïs	タイス
Taumante	Thaumas	タウマース
Taddeo	Taddeo	タッデオ
Tanaï	Tanais	タナイス
Tamiri	Tomyris	タミリス
Tagliacozzo	Tagliacozzo	タリアコッツォ
Tagliamento	Tagliamento	タリアメント
Tarquino	Tarquin	タルクィニウス
Tarpëa	Tarpeia	タルペイア
Tale	Thales	タレス
Tambernicchi	Tambernicchi	タンベルニッキ
Dedalo	Daedalus	ダイダロス
Daniello	Daniel	ダニエル
Dammiata	Damietta	ダミアッタ
Dante	Dante	ダンテ
Davide	David	ダヴィデ
Cesena	Cesena	チェゼーナ
Cecilio	Caecilius	チェチリオ
Ceperan	Ceprano	チェペラーノ
Cerchi	Cerchi	チェルキ
Certaldo	Certaldo	チェルタルド
Cervia	Cervia	チェルヴィア
Cecina	Cecina	チェーチナ
Cieldauro	Cieldauro	チエルダウロ
Cimabue	Cimabue	チマブーエ
Ciacco	Ciacco	チャッコ
Cianghella	Cianghella	チャンゲッラ
Cianfa	Cianfa	チャンファ
Cirïatto	Ciriatto	チリアット
Tigri	Tigris	ティグリス
Tisbe	Thisbe	ティスベ
Tizio	Tityus	ティテュオス
Tito	Titus	ティトゥス
Titone	Tithonus	ティトーネ
Tifeo	Typhon	ティフェオ
Tiberio	Tiberius	ティベリウス
Timeo	Timaeus	ティマイオス
Tiralli	Tyrol	ティラッリ
Tiresia	Tiresias	ティレシアス
Timbreo	Thymbraeus	ティンブレオ
Tesifone	Tisiphone	ティーシポネー
Tesauro dei Beccheria	Tesauro dei Beccheria	テザウロ・デイ・ベッケリーア
Tesëo	Theseus	テセウス
Tesoro	Tesoro	テゾーロ
Tegghiaio	Tegghiaio	テッギアイオ
Tegghiaio Aldobrandi	Tegghiaio Aldobrandi	テッギアイオ・アルドブランディ
Teti	Thetis	テティス
Tebaldello	Tebaldello	テバルデッロ
Tebaldo	Tebaldo	テバルド
Temi	Themis	テミス
Tamigi	Thames	テムズ
Tideo	Tydeus	テュデウス
Toppo	Toppo	テュポン
Terrenzio	Terence	テレンティウス
Tevere	Tiber	テヴェレ
Tebaide	Thebaid	テーバイ
Tebaide	Thebaid	テーバイラス
Diana	Diana	ディアナ
Dïogenès	Diogenes	ディオゲネス
Dïascoride	Dioscorides	ディオスコリデス
Dionisio	Dionysius	ディオニュシオス
Dionisio Areopagita	Dionysius the Areopagite	ディオニュシオス・アレオパギタ
Diomede	Diomedes	ディオメデス
Dïone	Dione	ディオーネー
Dite	Dis	ディーテ
Didone	Dido	ディードー
Deianira	Deianira	デイアニラ
Deïdamìa	Deidamia	デイダミア
Deïfile	Deiphyle	デイフィレ
Te Deum laudamus	Te Deum laudamus	デウム・ラウダムス
Deci	Decii	デキウス
della Arca	della Arca	デッラ・アルカ
Sannella	Sannella	デッラ・サンネッラ
Pressa	Pressa	デッラ・プレッサ
Pera	Pera	デッラ・ペーラ
Democrito	Democritus	デモクリトス
Demofoonte	Demofoonte	デモフォオンテ
Delia	Delia	デリア
Delfi	Delphi	デルポイ
Delectasti	Delectasti	デレクタスティ
Delo	Delos	デーロス
Tulïo	Tully	トゥッリウス
Tupino	Topino	トゥピーノ
Turno	Turnus	トゥルヌス
Turbìa	Turbia	トゥルビーア
Turs	Tours	トゥール
Tolosa	Toulouse	トゥールーズ
Toscana	Tuscany	トスカーナ
Toppo	Toppo	トッポ
Tobia	Tobias	トビア
Tommaso	Thomas	トマス
Tommaso d'Aquino	Thomas Aquinas	トマス・アクィナス
Traiano	Trajan	トラヤヌス
Traversari	Traversari	トラヴェルサーリ
Tristano	Tristan	トリスタン
Trinacria	Trinacria	トリナクリア
Trivïa	Trivia	トリヴィア
Torquato	Torquatus	トルクァトゥス
Trespiano	Trespiano	トレスピアーノ
Trento	Trento	トレンティーノ
Trento	Trento	トレント
Treviso	Treviso	トレヴィーゾ
Troia	Troy	トロイア
Tolomea	Ptolomea	トロメア
Tronto	Tronto	トロント
Alemagna	Germany	ドイツ
Duera	Duera	ドゥエーラ
Durazzo	Durazzo	ドゥラッツォ
Danoia	Danube	ドナウ
Donato	Donatus	ドナトゥス
Domizian	Domitian	ドミティアヌス
Domenico	Dominic	ドミニコ
Draghignazzo	Draghignazzo	ドラギニャッツォ
Dolcino	Dolcino	ドルチーノ
Don Michel Zanche	Don Michel Zanche	ドンノ・ミケーレ・ザンケ
Naiade	Naiads	ナイアス
Nil	Nile	ナイル
Nazarette	Nazareth	ナザレ
Nasidio	Nasidius	ナシディウス
Natan	Nathan	ナタン
Navarra	Navarre	ナバラ
Napoli	Naples	ナポリ
Narcisso	Narcissus	ナルキッソス
Navarra	Navarre	ナヴァッラ
Nïobè	Niobe	ニオベ
Niccosïa	Nicosia	ニコシア
Niccolò	Nicholas	ニコラウス
Niso	Nisus	ニソス
Niccolò	Niccolò	ニッコロ
Niccolò	Niccolò	ニッコロー
Nino	Ninus	ニノス
Nino	Nino	ニーノ
Visconti	Visconti	ニーノ・ヴィスコンティ
Nesso	Nessus	ネッソス
Nella	Nella	ネッラ
Nabuccodonosor	Nebuchadnezzar	ネブカドネザル
Nettuno	Neptune	ネプトゥヌス
Nerli	Nerli	ネルリ
Nembrotto	Nimrod	ネンブロット
Noè	Noah	ノア
Nocera	Nocera	ノチェーラ
Norvegia	Norway	ノルウェー
Normandia	Normandy	ノルマンディー
Novara	Novara	ノヴァーラ
Iacomo	James	ハイメ2世
Arrigo	Henry	ハインリヒ7世
Adriano	Adrian	ハドリアヌス
Absburgo	Habsburg	ハプスブルク
Arpie	Harpies	ハルピュイア
Ungheria	Hungary	ハンガリー
Anibàl	Hannibal	ハンニバル
Bacchiglione	Bacchiglione	バッキリオーネ
Bacco	Bacchus	バッコス
Batista	Baptist	バティスタ
Bagnacaval	Bagnacaval	バニャカヴァル
Bagnoregio	Bagnoregio	バニョレージョ
Babillòn	Babylon	バビロン
Babele	Babel	バベル
Barucci	Barucci	バルッチ
Bartolomeo	Bartolomeo	バルトロメオ
Bartolomeo della Scala	Bartolomeo della Scala	バルトロメオ・デッラ・スカーラ
Barbariccia	Barbariccia	バルバリッチャ
Barbarossa	Barbarossa	バルバロッサ
Barbagia	Barbagia	バルバージャ
Bari	Bari	バーリ
Peana	Paean	パイアン
Paolo	Paul	パウロ
Fetòn	Phaethon	パエトン
Paolo	Paolo	パオロ
Gianni	Gianni	パガーニ
Pachino	Pachino	パキーノ
Pasifae	Pasiphaë	パシパエ
Pazzi	Pazzi	パッツィ
Pallante	Pallas	パッランテ
Padova	Padua	パドヴァ
Pape Satàn aleppe	Pape Satàn aleppe	パペ・サタン・アレッペ
Pallante	Pallas	パラス
Palazzo	Palazzo	パラッツォ
Palladio	Palladium	パラディオン
Parìs	Paris	パリ
Parìs	Paris	パリス
Parnaso	Parnassus	パルナッソス
Parmenide	Parmenide	パルメニデス
Palestrina	Palestrina	パレストリーナ
Palermo	Palermo	パレルモ
Ieronimo	Jerome	ヒエロニムス
Ezechia	Hezekiah	ヒゼキヤ
Ippolito	Hippolytus	ヒッポリュトス
Ipocràte	Hippocrates	ヒポクラテス
Isifile	Hypsipyle	ヒュプシピュレ
Iperïone	Hyperion	ヒュペリオン
Bismantova	Bismantova	ビズマントヴァ
Zeno	Zeno	ビゼンツォ
Bindi	Bindis	ビンディ
Piava	Piava	ピアーヴェ
Pio	Pius	ピウス
Pietra	Pietra	ピエトラ
Pietrapana	Pietrapana	ピエトラパーナ
Pietro	Pietro	ピエトロ
Pier Damiano	Peter Damian	ピエトロ・ダミアーノ
Bernardone	Bernardone	ピエトロ・ベルナルドーネ
Pietro Peccator	Peter Damian	ピエトロ・ペッカトール
Piero	Piero	ピエロ
Pier	Pier	ピエール
Piero della Vigna	Pier della Vigna	ピエール・デッラ・ヴィーニャ
Traversaro	Traversaro	ピエール・トラヴェルサーロ
Pettinaio	Pettinaio	ピエール・ペッティナイオ
Pigmalïon	Pygmalion	ピグマリオン
Pisa	Pisa	ピサ
Pisistràto	Pisistratus	ピシストラトス
Pistoia	Pistoia	ピストイア
Piccarda	Piccarda	ピッカルダ
Piccarda	Piccarda	ピッカルダ・ドナーティ
Pinamonte	Pinamonte	ピナモンテ
Piramo	Pyramus	ピュラモス
Fillide	Phyllis	ピュリス
Pirro	Pyrrhus	ピュロス
Pilato	Pilate	ピラト
Pisa	Pisa	ピーア
